unique_id,customer_id,local_guide,date_year,text,text_response
18,793,True,2023,Horrible prices but still the best outlet in toen,
19,1322,True,2019,"A lot variety, the price is amazing average.",
20,1022,True,2023,"Very nice and modern outlet. It was easy to find the area of interest, eg. football, F1, Running. My son enjoyed playing the Run F1 Game.",
21,1632,True,2023,"FYI if want to come from Erlangen town , may consider public transportation bus no. 200",
22,567,False,2023,"I recommend registering for their newsletter,  keeps you up to date with in-store and online sales up to 70% off.",
23,1360,True,2019,Always love to shop here. Great place! There are many offers going on. Plus you may also get discounts if you work at certain companies in the region.,
24,1170,True,2023,Some fine priced off clothed but the more high-end lines are priced off so little it makes close to no difference.,
25,375,False,2023,"Great store, great prices. I found what I was looking for and it half price compared to that big store online.",
26,1472,True,2018,Best quality sports goods for throw away prices! PUMA HQ! Top place for sports goods!,
27,353,True,2018,It's really big and has a big selection. They have a separate store with the new styles as well. They also have styles I haven't seen anywhere. Parking is also very easy. There's a big lot attached to the store.,
28,855,True,2023,great selection and prices,
29,577,True,2019,Nice stuff. Very friendly,
30,19,False,2023,Good place good price!,
31,959,True,2023,Big store with lots of options and good prices. Really glad I stopped in and got some good good Puma items. Great stuff.,
32,846,True,2019,Favorite shopping spot on my annual Germany visit. Good deals and the new collection is there to find. plenty of parking as well,
33,1905,True,2023,"Conceptstore and factory outlet with very nice products to very nice prices. A must to go there, when you visit Herzogenaurach or passing by. Close to the Autobahn.",
34,1315,True,2019,It is a good store. Has a very wide selection of asortiment. There is an extra floor- worth checking especially for women more fashin pieces for sports. The store is divided into sport sections of clothing and shoes.,
35,29,True,2019,Latest concept PUMA products buy before everyone else,
36,1533,True,2023,better prices… lots of variety and customer friendly environment,
37,1260,True,2020,Great discount was there and additionally if we are employee of Siemens then you do have some hidden discount as well.,
38,22,True,2018,"Great store with wonderful collection, every time I go there I buy something even if I'm not planning to",
39,923,True,2022,"It's a nice small shop, not too many deals/sales",
40,570,True,2020,"Great products and friendly people! Love to visit the PUMA store next to the outlet, where they have their new stuff! Go there, highly recommended.",
41,1441,True,2019,Love their sales! Great finds you just have to be patient to go through it all.,
42,1296,True,2020,Sometimes you can find really good stuff here. The personal is helpful. Reclamations are handled customer friendly.,
43,1491,True,2020,Has a pretty good collections with good offers too for all gender. But i dont get them in my inbox on these offers.,
44,1123,True,2022,"Puma outlet us a must go together with addidas Outlet. Check the back of the upstairs floor for real discounted items.
Overall good prices. I miss the bakery which was there before.",
45,77,True,2024,Favorite Store!!!,"Hey there, Alexander!

We just wanted to say a big thanks for picking PUMA! Your feedback means a lot …"
46,977,True,2023,Amazing place and people to work with. They make work look much easier 👏 …,
47,1446,True,2022,It was great. Very nice staff and huge sales. Trully recommend 🙌🏼 …,
48,1806,True,2023,Sometimes you can find nice clothes to crazy good prices. Looks cool from the outside as well,
49,674,True,2023,"I loved this place. Nice outlet. Puma, Addidas, Nike and much more. Good price.",
50,561,True,2020,"Puma can’t deliver a simple order on its Amazon marketplace, as they were told by pitiful UPS delivery partner chosen by them to fulfil what hasn’t been fulfilled that couldn’t be delivered due to an invented address error, so don’t expect …",
51,1212,True,2021,Quality as expected _ super.,
52,168,True,2020,"Very good prices, you get special discount for many items from outlet price also..",
53,712,True,2023,Nice staff. Good discounts.,
54,576,True,2022,Really great Outlet Store where you always can find something for affordable price,
55,456,True,2023,"They used to have sizes for tall people too, but now it's mostly small - normal sizes and not one shoe in my size :/",
56,142,False,2023,superb,
57,102,True,2023,Decent collection complemented by awesome Food Factory for a quick meal/coffee,
58,1519,True,2022,Better than expected with a good selection of active wear.  Good prices.,
59,280,True,2017,"Very big store, lot of options available on all types of items. You will have discount on most of the articles but still it is expensive.",
60,914,True,2022,Friendly staff and a lot of nice and high quality clothes.,
61,274,True,2018,They have some nice stuff and a decent selection. But it's not a factory outlet so u only get about 30% off,
62,832,True,2019,Everything is almost half price and really good collection. You do need a car to go here i suppose.....,
63,390,True,2022,"Great store, great deals... Loved the place.... Everything from Puma is available here..",
64,622,False,2018,"Excellent place, Spacious, Exceedingly large number of shoes,Tee Shirts track Suits and branded motor Sports wear and accessories.",
65,942,True,2023,"Very large quantity and variety of shoes, apparel and accesories at atractive prices",
66,1599,True,2021,"Pricet, showcase store!",
67,1213,False,2020,Good shope with lot of collections. Some times also have good discounts like 20/50%.,
68,1471,True,2023,"this outlet is super, you can find the latest collection of puma here",
69,331,True,2019,Nice store but not as much selection as other outlets nearby.,
70,1122,True,2022,Shoe options have reduced but always good discounts!,
71,1777,True,2018,Huge place and good prices. If you are around check it out!,
72,253,True,2019,GREAT deals! The shoes are great and even the non clearance items are priced well.,
73,1764,True,2023,Too High prices new stickers attached 😤 …,
74,604,True,2023,Super 😃 …,"Hey Gulnara,

We are so pleased that you have chosen PUMA. Thank you for taking the time to …"
75,30,True,2023,"It’s big, but not cheap.",
76,145,True,2023,Happy! Have found there exactly what I want.,
77,915,True,2019,Friendly staff. Gotta search a bit around for some good deals but overall a nice outlet.,
78,1411,True,2018,I bought football shoes that costs 200€ but here it was om discount and the price was 50€.....amazing....love it,
79,296,True,2017,Very big outlet. Lots of choices but not always interesting. Recommended anyway,
80,1215,True,2023,The prices are so good.,
81,418,True,2024,Ok,"Hey Dominic,

We are so pleased that you have chosen PUMA. Thank you for taking the time to …"
82,475,False,2022,Aye the people here cool as hell and very helpful,
83,1537,True,2023,Got some cheap clothes on samples section,
84,841,True,2019,"Nice,  spacious and packed with more or less savy offers",
85,50,True,2017,"Really big outlet shop
it is difficoult to find nice stuff and often the prices are not really low as expected from an outlet shop.",
86,1829,True,2022,"Spacious, good offers , parking facility",
87,44,True,2019,Like allways good prices and quality!,
88,728,True,2018,Friendly staff and great offers. E-car parking also available.,
89,112,True,2020,Big store with clothes and shoes.good prices.Outdoor parking place.,
90,1923,True,2018,Awesome place.. near to HQ . You get newly arrived articles.,
91,1877,True,2022,Quality at low price worth visiting,
92,1274,False,2022,Nice bargains and friendly staff.,
93,1357,True,2023,Good discount.,
94,790,True,2020,"Ok outlet, but rather high prices. Staff quite unhelpful and rude.",
95,257,True,2021,I got everything i needed at affordable prices.,
96,939,True,2017,The outlet is nice but prices are not always interesting.,
97,24,True,2023,Nice collection Great Prices...,
98,954,False,2024,Super,"Hey there, Lytfi,

We're absolutely thrilled that you chose PUMA, and we want to thank you for …"
99,1775,True,2023,Very good store with amazing prices,
100,697,False,2023,Super!!!,"Hi Inna!

A big thank you for choosing PUMA. Your feedback means a lot to us and we look …"
101,1639,False,2024,Super,"Hi Tatyana!

A big thank you for choosing PUMA. Your feedback means a lot to us and we look …"
102,680,True,2017,Overpriced. Nothing really at a discount vs. buying locally in Canada for price and choice.,
103,104,True,2019,Nice place to find all sports accessories .. with nice colours too,
104,1427,True,2019,"Good prices, mostly on the clothing section.",
105,1841,True,2021,"Wide selections , good offer",
106,1766,True,2023,Why do I spend all of my salary here?,
107,1381,True,2020,Very good collection of sports items with few offers,
108,368,False,2018,Not fair with customers. Up price to black Friday and down after black Friday. ..,
109,1473,True,2021,Awesome selection and good prices,
110,1518,True,2022,Great collection. Great prices.,
111,1353,True,2020,"One of the best Puma stores, with wide variety of articles.",
112,1559,False,2021,I used to love puma but it's just getting worse. At least there are some cheap stuff but it's just not worth it.,
113,1623,False,2023,Fantastic place for buying,
114,1604,True,2019,I found everything for me and my family for decent price.,
115,464,True,2023,different choices and goog prices,
116,1907,False,2020,"Great shop!
I recommend this place!",
117,1352,False,2022,Best for price and quality.,
118,1762,True,2022,Huge outlet with great discounts,
119,336,True,2023,Ok,
120,727,True,2018,In this store every time you can find something that fits you well.,
121,1842,True,2021,Nice collection at discounted prices.,
122,564,True,2018,Very good price's.,
123,235,True,2020,Nice discounts and variety of models,
124,572,True,2020,nice store with competent staff,
125,998,True,2019,Nice store with amazing offers,
126,278,True,2018,"If you're a sports fan and like the clothes that go with it, this is the place you want to check out!",
127,1025,True,2019,Super!,
128,1221,True,2022,"Super, super, top 100%👌👌👌 …",
129,255,True,2020,Lots of choices and good prices,
130,383,True,2018,"Puma headquarters and big outlet store. Nice prices, good deals and vide selection of goods",
131,1217,True,2016,nice environment - good prices,
132,836,False,2022,"Nice people, Good garmentrs",
133,1487,False,2022,Big outlet with good prices,
134,723,True,2023,Great prices,
135,1714,False,2020,Big shop with good prizes,
136,1238,False,2019,Cool clothes and shoes; great prices,
137,144,True,2019,Best Puma collection as you can imagine it is their hq,
138,1447,False,2020,Nice snickers for complete family.,
139,835,True,2022,Amazing garments and concept outlet,
140,1521,True,2020,Its a super location been here for several years.,
141,656,False,2023,Super,
142,756,True,2023,Nice shop!,
143,1330,True,2021,Nice place to shop sports clothing,
144,1527,True,2018,"Huge assortment, friendly staff!",
145,247,True,2019,Nice variety of goods.,
146,33,True,2020,Great shopping experience!,
147,342,False,2023,Super!,
148,1457,True,2020,It is an outlet operated by Puma head office. There are a lot of things and the price is cheap.,
149,549,True,2020,Great prices and services,
150,1887,False,2017,It has the best staff service,
151,1203,True,2019,Awesome real deal in Germany,
152,1892,True,2017,"Wide range od goods for men,women, boys, girls",
153,1723,True,2018,Best price for alls Puma articles!,
154,263,False,2023,Excellent,
155,1876,True,2019,Very good discounts,
156,69,False,2023,Top,
157,459,True,2020,Very unique affordable sneakers,
158,123,True,2023,Good value for the price,
159,1941,True,2021,Hello from Prague!,
160,26,True,2019,Nice collection and affordable,
161,252,True,2018,Great vibe amd store,
162,574,True,2021,Top,
163,1520,True,2023,Ok,
164,1391,True,2020,Best,
165,1767,True,2020,Extra!!! Great Place,
166,1922,True,2020,Nice place for shopping,
167,1452,True,2020,"Name is outlet, prices are not",
168,1978,True,2023,I LOVE IT! ❤️,
169,249,True,2023,Amazing place,
170,101,False,2016,"Great shop.
Puma The Best.",
171,1289,True,2018,"Cheap, not crowded",
172,1761,True,2018,Excellent clothes and people!!!,
173,327,False,2023,Top,
174,1232,False,2020,v Nice and enjoy,
175,223,True,2019,Puma! The regular quality but for low prices,
176,1210,False,2019,Good but expensive,
177,587,False,2020,Very nice,
178,739,True,2018,A collection of all that you wanna buy of puma,
179,1620,True,2022,Super nice!,
180,466,True,2020,Good price!,
181,1488,True,2020,Best price!,
182,1673,True,2019,Past scho,
183,737,True,2018,A+++,
184,48,True,2023,Super!!,
185,1193,True,2023,Cooll,
186,710,True,2019,All you need for sports!,
187,381,False,2023,I love puma,
188,1716,True,2023,Tool,
189,1048,True,2019,Great shop!,
190,415,True,2023,Super,
191,897,False,2023,Gut,
192,212,False,2017,Very good.,
193,1539,False,2023,I love puma!,
194,1355,True,2019,Excellent experience...,
195,173,False,2018,Mega cool,
196,1568,True,2020,I simply like it,
197,707,True,2020,Too many choice!,
198,657,True,2022,Very magnificent,
199,1942,True,2020,Top👍🏼 …,
200,1546,True,2021,I simply love it!!!!,
201,508,False,2020,Nice ;),
202,1050,True,2020,Awesome outlet.,
203,367,False,2021,Mega cool 😎 …,
204,607,False,2020,Easy to shop,
205,795,True,2018,Good Price,
206,446,True,2018,puma ferrari  line the best,
207,184,False,2019,Puma HQ,
208,606,True,2019,PUMA has low quality,
209,1231,False,2020,Nice place,
210,1786,False,2019,Value for money,
211,1742,True,2019,Great stuff,
212,1784,True,2023,Top,
213,450,True,2022,Ok,
214,1532,True,2018,Nice place,
215,1508,True,2020,Nice location,
216,1314,True,2019,Super cool,
217,1091,True,2023,Super,
218,1254,False,2023,Super,
219,1318,True,2022,Perfect,
220,1557,True,2017,"PUMA head office, custom solutions.",
221,1445,True,2022,Poor choice...,
222,681,True,2018,Amazing place,
223,732,False,2023,Super,
224,1393,False,2023,Super,
225,1774,True,2019,Super!,
226,1354,True,2019,Good stuff,
227,912,True,2023,Gut,
228,254,False,2020,Extra!,
229,1142,True,2019,Ok,
230,186,True,2018,Awesome shoes,
231,1227,False,2021,Top,
232,1063,True,2021,Top,
233,776,True,2023,Super,
234,1216,True,2020,Top,
235,394,True,2020,TOP !!!,
236,91,True,2018,"Ok,",
237,221,True,2020,Top,
238,1148,False,2020,Ok,
239,1932,True,2018,Ok,
240,1424,True,2018,Very cheap,
241,449,False,2020,Top,
242,640,False,2019,Top,
243,334,True,2020,Very fain!,
244,503,True,2020,Cheap....,
245,1844,True,2018,Top,
246,1890,True,2019,Nice,
247,603,True,2016,Very cheap,
248,315,False,2018,ok,
249,1380,True,2019,Top,
250,1813,False,2019,Top,
251,322,False,2018,Ok,
252,262,False,2020,top,
253,751,True,2020,Top,
254,1387,False,2020,Super!!!,
255,1298,True,2019,Top,
256,481,True,2019,Black friday,
257,1433,False,2022,Super,
258,1536,True,2019,Top,
259,1895,True,2019,Good,
260,414,True,2018,Original PUMA outlet!,
261,148,True,2020,Top,
262,1661,False,2019,Top,
263,1356,False,2020,"Puma, high quality.",
264,1953,True,2022,Super,
265,749,False,2019,Top!!!!,
266,1304,False,2020,Lame,
267,1097,True,2023,Shopping!!,
268,595,False,2018,Nice,
269,527,True,2017,Fine,
270,1037,False,2020,Super,
271,1631,False,2020,SUPER,
272,1920,False,2018,Expensive,
273,1477,False,2020,Super,
274,401,True,2021,Super,
275,890,True,2020,Super,
276,837,True,2017,Amazing,
277,1779,True,2018,Mega,
278,1164,True,2021,Tip,
279,1675,False,2023,Super Outlet....,
280,948,False,2019,Super,
281,451,False,2020,Super,
282,1976,True,2019,I like :) PUMA,
283,1624,True,2018,Outlet,
284,384,True,2019,Super,
285,1531,False,2015,I luv puma!!!,
286,356,True,2017,Toll,
287,189,False,2017,Super,
288,1166,True,2017,Super,
289,1647,True,2020,Top Outlet,
290,442,True,2019,PUMA,
291,700,True,2023,Super Outlet,
292,1700,True,,They had Cheeto colab sneakers. Do I need to say more? Recommended!,
293,1470,False,2024,"Friend, I bought a shoe from here and it was called Puma, but it is really the fakest shoe. Puma shoes, the back heel, has always left the edges like thorns. I never buy Puma shoes anymore in my life, and also, I came from Turkey, I am a truck driver, I will hang the shoes in the store as soon as possible, for this shame.","Hi  Safiye,

Thanks for sharing your thoughts with us. Your feedback means a lot, and we're …"
294,805,False,2024,"I bought this loop for my husband, unfortunately it's way too tight. He's having a hard time getting it over his head. My sons tried it too, but this loop is definitely not suitable for men. Way too small. Maybe you should try things out before you make them.","Hi Juka,

Thank you for sharing your thoughts with us. Your feedback means a lot to us and …"
295,605,False,2023,"Opti top everything is really cool.
We have some nice things coming up!
There were also offers to be found. …",
296,143,True,2023,"I really liked the store. Huge selection of Puma products. Everyone will find a suitable item with the appropriate quality. Product prices are moderate. Responsive staff is always nearby, ready to help at any time. A thief who wanted to …","Hey Andrei,

We really appreciate your feedback, and we're thrilled to hear that you had such …"
297,1769,False,2024,There are no sportswear sizes larger than 2XL!!! Probably they think that athletes and people with a size larger than 2XL do not exist in nature)) I am very disappointed that I drove a long distance and came to this outlet with mini sizes …,"Hi Father Simon, we're sorry you didn't find what you were looking for this time. Your feedback will help us offer you a better shopping experience next time. Thank you for sharing your thoughts with us."
298,85,True,2024,"Great store, a bit expensive but they also offered some cool ones.
Large parking lot and also parking for bicycles.","Hi Alexio!

A big thank you for choosing PUMA. Your feedback means a lot to us and we look …"
299,1369,True,2023,"Big purchases always :)
Especially when there are promotions of -50%
Then there's more traffic and it's harder to find something because the size is …",
300,1000,True,2023,"Mega prices, great stores and a great restaurant right next to it. Mega for cars with electric drives: charging is free.",
301,86,True,2023,"always good offers significantly cheaper than in stores,

Very large, everything bright and pleasant, …",
302,1389,False,2024,"I visited this store many years ago. I spent more than I intended because the prices were very good😀.
I plan to visit again on 23 12 2023 but I don't know what the holiday store hours are …","Hi there, Ralph!

We totally understand your concern, and we want you to know that we're here to …"
303,713,True,2023,"Great offers and the sales staff is perfect. Every customer is looked after with excellent advice/sales and welcomed with a good mood. I felt very comfortable and would like to come back. Until then, I'll show the world my new shoes.🙂 …",
304,910,True,2024,"Find really good prices, compared to the prices that are with us for the same products.
If you're on your way there, I recommend going in!","Hey Lavinia,

We really appreciate your feedback, and we're thrilled to hear that you had such …"
305,1453,True,2023,"Some really good bargains in the outlet. Clearly structured, staff friendly. Unfortunately, many customers simply leave the shoes they tried on lying around, which is why it looked a bit chaotic.",
306,1174,True,2024,Everyone will find something here.,
307,926,True,2024,"We stood in an endlessly long line. When a second checkout finally opened, a number of customers pushed their way past the queue. Unfortunately the checkout staff didn't care at all. …","Hi Andy,

Thank you for sharing your thoughts with us. Your feedback means a lot to us and …"
308,234,False,2024,"A great shopping experience. Very well sorted and very well presented. The staff helpful. If the size was missing, the warehouse asked and brought it.","Hey Bettina,

Thank you for your feedback. We are so pleased that you were able to feel the characteristic PUMA shopping vibe at the PUMA Outlet Herzogenaurach. Please visit us again soon 😊 …"
309,428,True,2024,"Great, this is how you imagine an outlet!
Modern furnishings, nice people, good music and, above all, 50% of the goods are real bargains, so adidas can learn a thing or two","Hi Dorian!

A big thank you for choosing PUMA. Your feedback means a lot to us and we look …"
310,1031,False,2023,"Where are our offers? I always go to Herzogenaurach with my best friend, especially for the many great goods on the first floor. Everything was better before Corona. You can park practically right in front of the store. Get out of the highway and you're almost there.","Hi Mario,
We are very sorry that you had this experience. Good customer service is our top priority. Therefore: Thank you for sharing your thoughts with us. Would it be possible for you to send us your feedback to info@puma.com? Then we can help you even better."""
311,1656,True,2024,"Huge and balanced selection and also reasonably priced.

So far we have always found something or found what we imagined.","Hi Thomas!

A big thank you for choosing PUMA. Your feedback means a lot to us and we look …"
312,344,True,2023,"The Puma brand store presents the new goods at normal prices. The employees are super nice and are happy when customers come. In the back building is the outlet store, where discounted items can be found.",
313,934,False,2023,"Offers like before are hardly ever available. Especially on the first floor, where before Corona there was an endless amount of sporty clothes and shoes. It's a shame, a shame, a shame, hopefully something will change again. PUMA Outlet is located just outside Herzogenaurach. You can park easily right in front of the store.","Hi Luca,
Thank you for your feedback. We are sincerely sorry that your experience at our PUMA store did not meet your expectations. Could you maybe do us a favor and email us at info@puma.com? We would like to learn more and help you as quickly as possible."
314,295,False,2023,"The last Saturday I was there, only 2 cash registers were open and I spent over 30 minutes of my life in the queue. Aren't your customers worth more to you? Why do you have so many cash registers when you only staff two of them and make …","Hi Christian,
Apparently your visit to the PUMA store wasn't what you expected - we're really sorry. Could you perhaps take a moment to tell us what happened at …"
315,461,True,2023,"It seems that there are not many foreign tourists coming. In fact, the transportation is very convenient. You can take the bus from Erlangen Station to the door. It is recommended that there are more buses during commuting hours (this area …","Hey there, Ellen!

We just wanted to say a big thanks for picking PUMA! Your feedback means a lot …"
316,716,True,2019,"You can always find great bargains here. Even on weekends you can easily find a parking space thanks to a parking garage and enough parking spaces around the premises. On the first floor there is a remaining stock, second choice or sample …",
317,303,True,2023,"Well sorted, I found what I was looking for right away. There were also a few shoes for our little one. But here too, as with Addidas, size S 10 times there and M or L a maximum of 2 times or not at all",
318,467,True,2023,"This is quite small.
There isn't that much choice.
There is an area for slightly older children (where they can play ball).",
319,1443,False,2024,"There was a very nice cashier at the checkout in the outlet (Mrs. Hendl)
Thanks for the nice service
Best regards
Roswitha",
320,323,True,2022,"Attention, this is an “outlet”.
Which doesn't necessarily mean that you can get the latest collection for half the price... It's more about 2nd season and leftovers. There is also a shop next …",
321,318,False,2023,Great stop!! Great prices and lots of selection. Even our dog was allowed in. Afterwards we went to eat at the Food Factory. Delicious. Perfect for a stop on the way through.,
322,1111,True,2023,It is close to the motorway and can therefore be reached quickly. Always some really good offers. The star deduction is for the parking lot... an absolute disaster... who plans something like that...,
323,319,False,2024,Great selection and great prices. Definitely worth it! And compliments to the employees!! Super friendly!!,"Hey Claudia,

Thank you for your feedback. We are so pleased that you were able to feel the characteristic PUMA shopping vibe at the PUMA Outlet Herzogenaurach. Please visit us again soon 😊 …"
324,1927,True,2023,"Nice, spacious store that is usually very tidy. The employees at the checkout have always been friendly and the goods have often been attractive. We just think the prices are pretty steep these days, especially for an outlet. Otherwise we like to come there.",
325,1715,True,2023,An excellent facility with an even better offer of sports equipment and shoes. It can be found for all ages and all the sizes you need. The price range is very large. There is something for everyone and everything. …,"Hey there, Tomislav!

We just wanted to say a big thanks for picking PUMA! Your feedback means a lot …"
326,807,False,2023,Everything is always top - the service is incredibly nice and accommodating - the colleagues are always happy to see if another size is available :),"Hey Julia,

Thank you for your feedback. We are so pleased that you were able to feel the characteristic PUMA shopping vibe at the PUMA Outlet Herzogenaurach. Please visit us again soon 😊 …"
327,957,False,2023,"Really cool, bargains were great. The selection was great, including different sizes...
There weren't just XS and S 😀 …","Hi MM!

A big thank you for choosing PUMA. Your feedback means a lot to us and we look …"
328,1342,False,2024,Nice medium sized store that is always good for a bargain! Nice personel!,"Hey Petra,

We look forward to your feedback and your great experience in our store. The entire PUMA Store team can't wait to welcome you back. We hope you'll visit us again soon 😊 …"
329,1793,True,2023,Very chic outlet with an extremely large range. Some things are extremely cheap. Everything is very tidy and well sorted. The staff is friendly and relaxed. The fact that you can also charge your car for free is a dream! Clear recommendation!,
330,952,True,2021,"If you like sports fashion at affordable prices, then you've come to the right place. Everyone buys here in bulk, and men, women, and certainly children will choose here. A brand with a very good name that will never be lost at home with almost any athlete. Shopping here is a great experience!",
331,472,False,2024,"Very large selection of all kinds of things. Great range of shoes, bags, shirts etc.","Hey Enrico,

We look forward to your feedback and your great experience in our store. The entire PUMA Store team can't wait to welcome you back. We hope you'll visit us again soon 😊 …"
332,230,True,2023,Outlett is different because of the 3 euro discount you no longer need to go,
333,987,False,2023,"Prices are relatively good, but the cash register system is not the best.
Parking spaces are very good.","Hi Manuel!

A big thank you for choosing PUMA. Your feedback means a lot to us and we look …"
334,302,False,2023,"Nice shop, good offers and great selection. Staff on point, always helpful and super friendly. Happy to come back!!!","Hey Christine,

We look forward to your feedback and your great experience in our store. The …"
335,736,False,2023,I bought shoes and loaded up the car. I am very satisfied 😀 …,"Hey Janusz,

We look forward to your feedback and your great experience in our store. The entire PUMA Store team can't wait to welcome you back. We hope you'll visit us again soon 😊 …"
336,626,False,2023,"Can't say anything negative. Good parking spaces, also for mobile homes. Good prices and good selection. Before or after shopping you can also eat and drink something directly at the store. Overall very clean.",
337,684,True,2023,"The prices are not really Outet worthy. Long queues at the checkout because only two checkouts are open but there are enough employees standing around. In addition, the anti-theft device on one item was not removed. I would then have to somehow remove these myself at home about 500 km away.",
338,1510,True,2024,"Thanks Puma!
Headband ordered, Puma fell off, refund only via return for umpteen photos and the effort exceeds the price.
I'm going to take the time to evaluate it now","Hi Sebastian,

Thank you for sharing your thoughts with us. Your feedback means a lot to us and …"
339,509,False,2023,"It is possible to find different and beautiful sportswear. It could be even nicer and tidier. Despite everything, nice and affordable prices for sportswear lovers. New collection and the outlet store next to each other.",
340,1490,True,2023,"Great store, great prices, friendly service. And finally an outlet that is rightly called an outlet. We'd love to come back any time!",
341,163,True,2021,"The prices are ok, but sometimes not too much choice. You have to be lucky. For example, there are few things for children, it's not worth it for children.",
342,1060,True,2019,"I have seen many Puma outlet stores, but none are as extensive, modern and with such good equipment as the home store
. Lots of clothing on the second floor and a future store right at the main entrance. Nice and friendly saleswomen. It's always worth taking a look here.",
343,432,True,2023,"very crowded, staff not particularly friendly. Big discount, very good quality.",
344,1526,True,2023,All is well,"Hey there, Sergey!

We just wanted to say a big thanks for picking PUMA! Your feedback means a lot …"
345,5,True,2018,Good prices. There is definitely a bargain or other bargain there. It's worth a visit.,
346,62,False,2023,"The PUMA outlet is always worth a visit. Great bargains, but also good advice when it matters. I think it's great that flocking the jerseys is always possible.","Hey Alexander,

Thank you for your feedback. We are so pleased that you were able to feel the characteristic PUMA shopping vibe at the PUMA Outlet Herzogenaurach. Please visit us again soon 😊 …"
347,1474,True,2023,"The store is generally nice, but the shopping experience is not.
During the last visit there was an extreme level of noise, children were running around screaming and throwing all sorts of things down, etc. No employee said …",
348,585,True,2023,"The outlet is worth a visit. The employees are friendly and helpful and are happy to check the warehouse for missing sizes. Unfortunately, the café in the entrance area no longer exists. …",
349,847,True,2021,"Selection and prices are ok. If you're not looking for anything specific, you can get a few bargains.
There are enough parking spaces available. …",
350,370,True,2023,"👍👍👍 I love Puma, the whole family wears shoes and clothes of this company👌
P.S: in the photo below, shoes were bought only this year (not including clothes) …",
351,434,True,2023,The Puma outlet is definitely the best facility in town where you can find affordable pieces of clothing from this brand. Adidas and Nike are too expensive and the rest is not worth mentioning.,"Hey there, Dragoslav!

We just wanted to say a big thanks for picking PUMA! Your feedback means a lot …"
352,895,False,2024,You can shop 20% cheaper than in regular stores,"Hello, Krzysztof!

We want to thank you very much for choosing PUMA. Your opinion is very important …"
353,161,True,2023,"Great selection, you can still save here.
Just don't confuse the outlet with the normal shop","Hi Anja!

A big thank you for choosing PUMA. Your feedback means a lot to us and we look …"
354,1781,False,2023,"Great products, moderate prices. The staff deserve special praise, they were in the store at a late hour, 7 p.m., and the frying was very friendly and competent...the ladies at the checkout were also knowledgeable and friendly...thank you for that",
355,1741,True,2024,"Great, always happy to come back",
356,213,True,2024,"Large parking lot
Great deals for shopping.","Hi Bernd!

A big thank you for choosing PUMA. Your feedback means a lot to us and we look …"
357,1398,True,2023,Great outlet with a huge selection and good prices. Friendly and helpful staff. Always worth a visit!,
358,1121,True,2024,"The outlet offers plenty of parking space, top prices and constantly changing items in all sizes for men and women. …",
